LINEAGE,0
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,90.13133381719699
GENERATION,4,97.29075294428628
LINEAGE,1
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,95.24529653138661
GENERATION,5,97.26463812686953
GENERATION,6,98.06920028359968
GENERATION,7,99.47658804118498
GENERATION,8,99.668839645603
GENERATION,9,99.88916501515772
GENERATION,10,100.0
GENERATION,11,100.0
GENERATION,12,100.0
GENERATION,13,100.0
LINEAGE,2
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,94.82721514353682
GENERATION,5,97.15273798496415
GENERATION,6,97.92766950502632
GENERATION,7,98.61493268125311
GENERATION,8,99.90860488563438
