LINEAGE,0
GENERATION,0,0.0
GENERATION,1,50.0
LINEAGE,1
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.49999999999999
GENERATION,4,94.6054849758015
GENERATION,5,98.2263797578148
GENERATION,6,99.50711329072591
GENERATION,7,100.0
LINEAGE,2
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,93.20138483984782
GENERATION,5,97.00668477171675
GENERATION,6,98.28284347972834
GENERATION,7,99.6812900132827
GENERATION,8,99.86522900320281
GENERATION,9,99.73045800640563
