1,2,3,4,5,6,7,8,9,10
,,,,,,,100,74.58686184,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,99.60926481,98.48063308,100
,,,,,,,99.56620501,100,98.86914337
,,,,,,,100,100,100
,,,,,,,100,100,99.22864191
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,98.35210111,100
,,,,,,,100,100,100
,,,,,,,100,98.8851344,100
,,,,,,,100,100,100
,,,,,,,98.86914337,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,99.52097358
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,99.50965588,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,99.46091601,99.22864191
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,98.8851344,100,100
,,,,,,,100,100,100
,,,,,,,98.66704984,100,100
,,,,,,,100,100,100
,,,,,,,99.32766683,100,100
,,,,,,,100,100,100
,,,,,,,98.48063308,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,98.83985043,100,100
,,,,,,,100,100,100
,,,,,,,100,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.57118538,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,99.60926481,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,99.04332726
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,98.48063308
,,,,,,,,99.09542522,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,99.60926481,100
,,,,,,,,100,98.7858961
,,,,,,,,100,99.56620501
,,,,,,,,100,74.58686184
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,99.09542522,100
,,,,,,,,74.58686184,100
,,,,,,,,100,98.8851344
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.7858961,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,98.57118538
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,97.9713818
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.33993148,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,99.50965588,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.88076685,100
,,,,,,,,98.66704984,97.9112353
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.86914337,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,98.33993148
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.40707583,100
,,,,,,,,100,100
,,,,,,,,99.32766683,100
,,,,,,,,100,100
,,,,,,,,99.14308055,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.8851344,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,100,100
,,,,,,,,98.83985043,100
,,,,,,,,100,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,99.09542522
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,99.60926481
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
