LINEAGE,0
Generation,0
# of Cells,1,0.0
Generation,1
# of Cells,2,50.0,50.0,
Generation,2
# of Cells,4,68.2506047262787,81.7493952737213,88.81504635384047,61.18495364615952,
Generation,3
# of Cells,8,69.85520972882942,98.39539499744927,94.93544262380304,93.87960373003745,91.76888118947737,89.98051408424394,95.6914304800063,65.49352316615322,
Generation,4
# of Cells,16,72.10761051790074,97.7475992109287,97.4000470660809,97.53539555772214,95.89067880652439,95.87820238295298,97.945192081057,97.74623839894929,99.46967983275923,98.92571516469005,97.16137216569297,96.71823156434446,94.5187868806359,95.46172720360802,95.83726711120237,69.65625605495086,
Generation,5
# of Cells,32,73.43297179198264,98.6746387259181,98.80563363140968,98.59441343467121,99.24118177996255,96.64949702656185,100.0,97.945192081057,100.0,99.46967983275923,97.16137216569297,100.0,97.61546400976172,96.90332287087419,98.50533323334817,97.3319338778542,97.7475992109287,100.0,98.6321369301096,98.90325862761254,95.87820238295298,100.0,98.88752756213097,98.85871083681832,99.3100982229174,99.61561694177266,97.47704978438193,99.24118177996255,97.08283640771069,98.37889079589733,99.51762734522775,70.13862870972311,
Generation,6
# of Cells,64,73.43297179198264,100.0,100.0,98.80563363140968,100.0,99.24118177996255,100.0,100.0,100.0,100.0,97.16137216569297,100.0,98.50533323334817,99.11013077641356,100.0,98.50533323334817,97.7475992109287,100.0,98.6321369301096,100.0,97.945192081057,97.93301030189599,100.0,98.88752756213097,100.0,99.3100982229174,97.47704978438193,100.0,98.36691900796836,98.71591739974231,99.51762734522775,100.0,98.6746387259181,100.0,98.59441343467121,100.0,97.76196946443086,98.88752756213097,97.945192081057,100.0,99.46967983275923,100.0,100.0,100.0,100.0,96.90332287087419,98.89896208587157,98.43297179198264,100.0,100.0,100.0,98.90325862761254,100.0,100.0,98.85871083681832,100.0,100.0,99.61561694177266,99.24118177996255,100.0,100.0,98.37889079589733,98.39539499744927,71.74323371227383,
Generation,7
# of Cells,128,73.43297179198264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.15701138069034,98.00436078500262,100.0,98.50533323334817,100.0,100.0,97.7475992109287,100.0,99.57325716448764,99.05887976562194,97.945192081057,100.0,100.0,100.0,100.0,100.0,98.36691900796836,99.11013077641356,100.0,98.36691900796836,99.51762734522775,100.0,99.15701138069034,99.51762734522775,100.0,98.59441343467121,98.85871083681832,98.90325862761254,97.945192081057,100.0,99.46967983275923,100.0,100.0,100.0,100.0,100.0,100.0,98.89896208587157,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.85871083681832,100.0,100.0,100.0,99.24118177996255,100.0,100.0,99.61561694177266,98.77977805567662,100.0,100.0,98.80563363140968,100.0,100.0,99.24118177996255,100.0,100.0,100.0,100.0,100.0,100.0,99.11013077641356,100.0,100.0,98.50533323334817,100.0,100.0,100.0,100.0,100.0,97.93301030189599,98.88752756213097,100.0,100.0,99.3100982229174,100.0,100.0,100.0,98.71591739974231,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.88752756213097,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.90332287087419,100.0,98.43297179198264,100.0,100.0,98.90325862761254,100.0,100.0,100.0,100.0,100.0,100.0,99.61561694177266,100.0,100.0,99.57325716448764,98.80563363140968,99.33859686722477,72.40463684504907,
Generation,8
