LINEAGE,0
Generation,0
# of Cells,1,0.0
Generation,1
# of Cells,2,50.0,50.0,
LINEAGE,1
Generation,0
# of Cells,1,0.0
Generation,1
# of Cells,2,50.0,50.0,
Generation,2
# of Cells,4,61.760527848630865,88.23947215136914,86.34082731258856,63.65917268741145,
Generation,3
# of Cells,8,95.13249389761756,91.208333414971,96.41122617934506,91.82824597202406,68.25655121647425,93.50397663215661,96.10226425075146,67.55690843666,
LINEAGE,2
Generation,0
# of Cells,1,0.0
Generation,1
# of Cells,2,50.0,50.0,
Generation,2
# of Cells,4,66.07702061888119,83.92297938111881,91.40515488914356,58.59484511085644,
Generation,3
# of Cells,6,68.33575910903187,97.74126150984934,94.04162831640076,97.3635265727428,88.73496949902895,69.85987561182749,
Generation,4
# of Cells,6,70.9608897254775,97.37486938355437,98.74240660433867,98.99885490551067,98.52226612676009,98.8412604459827,
Generation,5
# of Cells,8,72.16274324375023,98.79814648172727,100.0,98.74240660433867,98.2476422201959,99.12722716335848,98.99885490551067,100.0,
Generation,6
# of Cells,6,100.0,98.79814648172727,100.0,98.2476422201959,98.74240660433867,100.0,
Generation,7
# of Cells,2,98.79814648172727,100.0,
Generation,8
# of Cells,2,100.0,100.0,
LINEAGE,3
Generation,0
# of Cells,1,0.0
Generation,1
# of Cells,2,50.0,50.0,
Generation,2
# of Cells,2,58.46832223082124,91.53167776917877,
Generation,3
# of Cells,4,96.3589344818797,95.17274328729908,68.00600735485997,90.46231487596124,
Generation,4
# of Cells,6,97.63219020123314,97.54055308606593,95.24973520962851,95.21257966633274,70.60274919051082,97.40325816434915,
Generation,5
# of Cells,4,97.63219020123314,100.0,100.0,97.54055308606593,
LINEAGE,4
Generation,0
# of Cells,1,0.0
Generation,1
# of Cells,2,50.0,50.0,
Generation,2
# of Cells,4,63.59820981590265,86.40179018409735,81.30905105063732,68.69094894936268,
Generation,3
# of Cells,6,93.52180373515742,87.78724731547992,71.55712603001405,92.0410837858886,95.60131570524088,90.80047447885647,
Generation,4
# of Cells,4,74.62055512741355,96.93657090260052,95.56731413841653,95.23316034043995,
